epoch,train_loss,train_zero_classification_loss,train_positive_regression_loss,train_zero_suppression_loss,validation_mse,validation_mae,validation_r2,validation_smape,validation_rmse,validation_rmsle,validation_thresholded_rmsle,validation_zero_f1,validation_mean_prediction_on_zero,validation_evaluated_row_count,validation_skipped_row_count,validation_unknown_node_row_count
1,0.07588306072578228,0.3213431758133854,0.0034690800826639103,0.0155875469814194,0.05262423774799447,0.17274359553603572,-1.6846973529341955,64.99498787612006,0.22939973353950188,0.15923309410813566,0.15955794719770036,0.4086672432016912,0.10065991121182224,271599,0,0
2,0.060075738030968946,0.25431827672403395,0.002786252137932942,0.012131924617454597,0.026352084036221562,0.12607839248148403,-0.34438755379482333,72.69864092554924,0.1623332499404283,0.1328428527834464,0.13342832469860025,0.4694562175784254,0.04568759252924862,271599,0,0
3,0.057263755144437836,0.24238768000603017,0.0026341897234848587,0.011726129331710357,0.030514360487624306,0.1327804438324361,-0.5567317710122435,57.552019371359094,0.17468360108385764,0.1342217995120544,0.13468866040174407,0.37843104811280864,0.1405098829413617,271599,0,0
4,0.055071229322647006,0.2331932221894302,0.002539686554761406,0.011177369742531884,0.02610131304385984,0.12061842454416684,-0.3315941291639488,68.45542954355744,0.16155900793165276,0.13145887019720445,0.13263655051525217,0.47486586059392233,0.04640824028251841,271599,0,0
5,0.053835872726439984,0.22791409267848553,0.002488407844234489,0.01092079181700889,0.02802680234559798,0.13120569439458768,-0.4298255953608441,67.66787055985017,0.16741207347619222,0.13467310487136191,0.13512070972423787,0.4631036703155183,0.07895676173787326,271599,0,0
6,0.05267115108537488,0.22281894294401744,0.0024463139237182476,0.010715779166185794,0.1410907239284391,0.2982934439295743,-6.19793595620652,84.56156043691108,0.37562045195707744,0.24532311607503213,0.24549993798041556,0.48947413037949644,0.1411845065049498,271599,0,0
7,0.05154973675671437,0.2180120698243141,0.0024031674201676336,0.010469956797841535,0.017353565152547466,0.08323882916693584,0.1146841755291591,51.49096845276486,0.13173293116205784,0.109142365467731,0.10992817763356301,0.46516189428949284,0.08137232362793166,271599,0,0
8,0.05071038821428471,0.2144329040080591,0.0023610152894276907,0.010339253267982934,0.045958645643264386,0.15375736649562677,-1.3446430691077293,60.535137501845085,0.21437967637643357,0.15172955585018455,0.1521105527513307,0.4373307798983028,0.12219319401155933,271599,0,0
9,0.049844008816007056,0.2108283072969983,0.002329308826403402,0.010065762921152088,0.022017892222872096,0.09938201656891058,-0.1232728396182401,55.403855963115376,0.14838427215467312,0.11970039296121507,0.12009622726192079,0.461249759888884,0.08540897300166317,271599,0,0
10,0.04876485850533894,0.20600159992194472,0.0022958169427168525,0.009909679258850605,0.02141713246603467,0.09820296050116041,-0.09262426021924819,62.27307809419484,0.14634593423130918,0.12142773223036113,0.12178836454527517,0.47905687239303657,0.044868615542640336,271599,0,0
