epoch,train_loss,train_zero_classification_loss,train_positive_regression_loss,train_zero_suppression_loss,validation_mse,validation_mae,validation_r2,validation_smape,validation_rmse,validation_rmsle,validation_thresholded_rmsle,validation_zero_f1,validation_mean_prediction_on_zero,validation_evaluated_row_count,validation_skipped_row_count,validation_unknown_node_row_count
1,0.06422176050976744,0.22570019688463608,0.005734114805354233,0.025378301601507364,0.06277379464665742,0.1741446619746867,-0.2709224763764029,112.26873083495914,0.2505469908952359,0.1921676672366133,0.19285265986403416,0.6470394100442693,0.08252108962038754,126372,0,0
2,0.05081722733908266,0.17703044743915403,0.004411266078103377,0.021962015834980333,0.05785363991518699,0.16903167676456513,-0.1713086921425,113.27396592212418,0.24052783605060557,0.18541459468257307,0.18652912589981632,0.6304529385518322,0.07696920371224618,126372,0,0
3,0.04904583166306688,0.17042473651960138,0.004273856177440011,0.021377237154626604,0.058078669439335796,0.1643271800948242,-0.175864655051845,123.56279046138488,0.24099516476339478,0.1914704662015081,0.192256426294467,0.5999401317102374,0.04707535827168845,126372,0,0
4,0.04790740056514889,0.16615437489657778,0.004190168197717608,0.02098729443697777,0.053445529286281226,0.14623242122156352,-0.0820617873127889,113.838636457259,0.2311828914220973,0.18387199729756512,0.1847178028538492,0.639443704690043,0.039353983382208656,126372,0,0
5,0.04679236578710753,0.16235766616204345,0.004091026172087913,0.020462598032920935,0.06576502044274589,0.18811044926181847,-0.3314830354052838,102.96099835658113,0.2564469154479069,0.19328454836067382,0.1961876402094699,0.6608245006380374,0.13066267933224052,126372,0,0
6,0.0458979717463533,0.15911600405904813,0.0040013903408568224,0.020239964956801134,0.05140203546487144,0.15488251406565148,-0.040689073705387324,122.40668608861714,0.22672016995598657,0.18284840016265136,0.18399851207075696,0.6162074653934035,0.03881435241557293,126372,0,0
7,0.0452756682146214,0.15686504550051647,0.0039600754929801875,0.019941691136243285,0.04590563769287915,0.13710199789598518,0.07059136595658155,102.79190507898078,0.21425600970072964,0.1691922249644589,0.17002994297766688,0.6633185923974406,0.06611216873997734,126372,0,0
8,0.044534576223570085,0.15432174892310688,0.0038813000558330915,0.01969208508555884,0.04238571041638947,0.13132429730207887,0.14185605078377683,108.91584784172007,0.2058779017194159,0.1666050703051513,0.1676806731826024,0.6311936434246942,0.0612103144144662,126372,0,0
9,0.043847366559996805,0.15167806655786323,0.003850788454673965,0.01936725188645554,0.05016449517946824,0.1470661261958849,-0.015633749696486676,110.42461971667323,0.22397431812479807,0.1764117719078225,0.17722585771705543,0.6475511744593934,0.06271989593937148,126372,0,0
10,0.04338979651377364,0.15001518495265367,0.0038351159171753782,0.019055089584384313,0.04176440885378153,0.12720975333796408,0.15443496408622848,99.96866187067963,0.20436342347343256,0.16339187212527817,0.1641975650388227,0.6687396754445633,0.07928672733918168,126372,0,0
11,0.04260733656963654,0.1472323035942822,0.003770170348412591,0.01873511474912387,0.06405136703535126,0.1784167674952915,-0.29678829304605636,104.89426341317842,0.25308371546852093,0.1921013911020522,0.1928730645573873,0.6929787287224736,0.09244701287925218,126372,0,0
12,0.042448391009375405,0.14608917505139912,0.0037980983500403055,0.01878119531538693,0.08026738779834278,0.20525563138946776,-0.625098942116715,114.89644106919454,0.2833149974822067,0.20814269481897707,0.2091133499101768,0.6856059741030853,0.05944263873368431,126372,0,0
13,0.04203930002796818,0.14479028229730836,0.0037629971139778173,0.018517495397245003,0.04858761776118704,0.1441323397892915,0.016291816770613865,105.54623001488923,0.22042599157355974,0.17312108565982076,0.17378704930299127,0.6526159932445719,0.07098956392675516,126372,0,0
