variant,removed_module,meter_id,meter_name,best_epoch,validation_rmse,validation_rmsle,validation_zero_f1,test_mse,test_mae,test_r2,test_rmse,test_rmsle,test_thresholded_rmsle,test_zero_f1,final_score,evaluated_row_count,skipped_row_count,output_dir
baseline,none,1,chilled_water,3,0.18951128591404076,0.14995566649680112,0.6127932601808916,0.022651900246936613,0.09873115745112895,0.2926941088052092,0.15050548244810424,0.12391939345617484,0.1250638236687812,0.6591751995484963,0.12391939345617484,421184,878,/root/autodl-tmp/upload1/Ablation experiment/STGNN/static_adaptive_other_meters_ablation_outputs/baseline/meter_1
no_static_graph,static_graph_branch,1,chilled_water,5,0.15353107242557987,0.1240310600310198,0.6463988550081265,0.021688887539046332,0.0935539500860032,0.3227641936175577,0.14727147564632578,0.12192533019597086,0.12213785320413433,0.7039380439481945,0.12192533019597086,421184,878,/root/autodl-tmp/upload1/Ablation experiment/STGNN/static_adaptive_other_meters_ablation_outputs/no_static_graph/meter_1
no_learned_graph,learned_graph_branch,1,chilled_water,3,0.1879982005886332,0.1539133803602154,0.5509837752905082,0.03514071937411368,0.1303805531718234,-0.09726943714114622,0.1874585804227528,0.1561596345159998,0.15639647568488438,0.601405369572423,0.1561596345159998,421184,878,/root/autodl-tmp/upload1/Ablation experiment/STGNN/static_adaptive_other_meters_ablation_outputs/no_learned_graph/meter_1
no_graph_fusion,learnable_prediction_fusion,1,chilled_water,3,0.1690300708311624,0.13520660244457072,0.6344445297897945,0.021978093465816046,0.10097411916592638,0.31373373464755006,0.14825010443779135,0.12027719809407142,0.12194160295407412,0.6815301348500139,0.12027719809407142,421184,878,/root/autodl-tmp/upload1/Ablation experiment/STGNN/static_adaptive_other_meters_ablation_outputs/no_graph_fusion/meter_1
no_gcn,gcn_spatial_message_passing,1,chilled_water,2,0.18151064890592433,0.1450519191280266,0.590193405783754,0.0282242671360739,0.11869581421331396,0.11869687741979307,0.16800079504595775,0.13512527836209326,0.13530650899592037,0.8089258839158431,0.13512527836209326,421184,878,/root/autodl-tmp/upload1/Ablation experiment/STGNN/static_adaptive_other_meters_ablation_outputs/no_gcn/meter_1
no_layer_attention,layer_attention_fusion,1,chilled_water,3,0.19149688257667274,0.1507462773567091,0.5756361832818282,0.031228759115261656,0.11771784317214486,0.024881574784669125,0.17671660678968928,0.1435550365081468,0.14667147704620026,0.6039429492296339,0.1435550365081468,421184,878,/root/autodl-tmp/upload1/Ablation experiment/STGNN/static_adaptive_other_meters_ablation_outputs/no_layer_attention/meter_1
no_gru,gru_temporal_modeling,1,chilled_water,6,0.3288673419873709,0.2731573856166952,0.2940866942333668,0.08286005653496491,0.22637126804666588,-1.5873063845864337,0.28785422792615867,0.24202511914309988,0.2437910473864841,0.39752645783482815,0.24202511914309988,421184,878,/root/autodl-tmp/upload1/Ablation experiment/STGNN/static_adaptive_other_meters_ablation_outputs/no_gru/meter_1
no_zero_inflation,zero_classifier_gate_and_zero_specific_loss,1,chilled_water,2,0.14279458797303535,0.11713198750886059,0.0,0.01944825466129788,0.09902902793561288,0.3927279854919522,0.1394569993270251,0.11388875478518797,0.11388875478518797,0.0,0.11388875478518797,421184,878,/root/autodl-tmp/upload1/Ablation experiment/STGNN/static_adaptive_other_meters_ablation_outputs/no_zero_inflation/meter_1
baseline,none,2,steam,6,0.1608634466900406,0.13247839683592372,0.464800867687754,0.01578550845072707,0.08011800900102929,0.04631130014970941,0.12564039338814198,0.10091193505404485,0.10180143735051932,0.46218404227944815,0.10091193505404485,264947,609,/root/autodl-tmp/upload1/Ablation experiment/STGNN/static_adaptive_other_meters_ablation_outputs/baseline/meter_2
no_static_graph,static_graph_branch,2,steam,2,0.1721821095346509,0.14314967310180843,0.42648794158861275,0.023344985862763033,0.10742794365772565,-0.41039797894228935,0.15279066026024965,0.1196270154805733,0.11990468581896974,0.4341143729239608,0.1196270154805733,264947,609,/root/autodl-tmp/upload1/Ablation experiment/STGNN/static_adaptive_other_meters_ablation_outputs/no_static_graph/meter_2
