feature,importance
age_missing,94.35154724121094
site_id,87.88050079345703
square_feet,84.0381088256836
floor_count,48.66288757324219
floor_count_missing,40.88986587524414
building_id,19.518049240112305
dayofyear_datetime,17.546031951904297
age,16.847640991210938
primary_use,16.844255447387695
month_datetime,15.130532264709473
weekofyear_datetime,12.854537963867188
sea_level_pressure_missing,12.344722747802734
year_built,12.238584518432617
precip_depth_1_hr_missing,10.85221004486084
sea_level_pressure,10.353706359863281
year_built_missing,5.848117351531982
wind_direction_missing,4.673711776733398
precip_depth_1_hr,4.325176239013672
dew_temperature,4.022420883178711
beaufort_scale_missing,3.284327983856201
day_month_datetime,2.763139486312866
day_week,2.2782227993011475
wind_speed_missing,2.0764505863189697
hour_datetime,2.0566349029541016
air_temperature,1.4898003339767456
week_month_datetime,1.4485646486282349
cloud_coverage,1.2979810237884521
wind_direction,1.1540952920913696
wind_speed,0.6818981170654297
beaufort_scale,0.6644853353500366
cloud_coverage_missing,0.453623503446579
air_temperature_missing,0.07124757766723633
dew_temperature_missing,0.0
meter,0.0
