feature,importance
site_id,813.2466186523437
square_feet,660.3186645507812
floor_count,589.2345092773437
meter,541.826806640625
building_id,386.0649780273437
age,363.13181762695314
primary_use,269.5118408203125
air_temperature,232.50322875976562
year_built,228.31566467285157
dayofyear_datetime,148.64653625488282
weekofyear_datetime,121.55985717773437
dew_temperature,106.1781021118164
month_datetime,99.01698150634766
precip_depth_1_hr,58.986680603027345
hour_datetime,48.73700714111328
day_week,30.442990875244142
day_month_datetime,25.44784622192383
cloud_coverage,16.816625595092773
week_month_datetime,16.800317192077635
beaufort_scale,13.724348640441894
wind_direction,12.83784294128418
